                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0719,                 3.9465,                0.35325,                0.93885,                 1.2231,                0.85756,                0.80093,                0.89091,                0.66727,                0.82394,                0.71269,                0.76833,                0.45803,                0.90274,                  2.764,                0.32461,                 0.7018,                 1.0999,              0.0098268,              0.0098268,              0.0098268
                     37,                 1.0738,                 3.9581,                0.35377,                 0.9403,                 1.2232,                0.86218,                0.79677,                0.89167,                0.66803,                0.82611,                0.71143,                0.76905,                0.45825,                0.90299,                 2.7642,                0.32451,                0.70093,                 1.1001,              0.0098218,              0.0098218,              0.0098218
                     38,                 1.0708,                 3.9545,                 0.3529,                0.94116,                 1.2234,                0.86371,                0.79613,                0.89191,                0.66805,                0.82609,                0.71117,                0.76847,                0.45853,                0.90274,                 2.7622,                 0.3244,                0.69961,                 1.1001,              0.0098169,              0.0098169,              0.0098169
                     39,                 1.0729,                 3.9546,                 0.3537,                0.94296,                 1.2236,                0.86306,                0.79676,                0.89214,                0.66825,                0.82807,                0.70907,                0.76906,                0.45931,                0.90247,                 2.7614,                0.32423,                0.69983,                 1.1002,              0.0098119,              0.0098119,              0.0098119
                     40,                 1.0698,                 3.9443,                0.35308,                0.93889,                 1.2236,                0.86522,                0.79203,                0.89211,                0.66833,                0.83188,                0.70732,                0.76994,                0.45992,                0.90196,                 2.7581,                0.32395,                0.69963,                 1.1002,               0.009807,               0.009807,               0.009807
                     41,                 1.0716,                 3.9376,                0.35297,                0.93627,                 1.2223,                0.86567,                0.79172,                0.89229,                0.66853,                0.83051,                0.70734,                0.77047,                 0.4596,                 0.9011,                 2.7559,                0.32369,                0.69896,                 1.0999,               0.009802,               0.009802,               0.009802
                     42,                 1.0743,                 3.9557,                0.35346,                0.93921,                 1.2233,                  0.865,                0.79235,                 0.8919,                0.66869,                0.83081,                0.71048,                0.77066,                0.45914,                0.90063,                 2.7552,                0.32347,                 0.6988,                 1.0996,               0.009797,               0.009797,               0.009797
                     43,                 1.0707,                 3.9471,                0.35326,                0.93881,                  1.223,                0.86223,                0.79514,                0.89172,                0.66892,                0.83223,                0.71065,                0.76968,                0.45956,                0.90026,                 2.7538,                0.32326,                0.69865,                 1.0997,              0.0097921,              0.0097921,              0.0097921
                     44,                 1.0715,                 3.9402,                 0.3531,                0.93772,                 1.2214,                0.86358,                0.79471,                0.89169,                0.66896,                 0.8314,                0.71112,                 0.7696,                 0.4598,                0.89986,                 2.7532,                0.32309,                0.69862,                 1.0996,              0.0097871,              0.0097871,              0.0097871
                     45,                  1.072,                 3.9513,                0.35308,                0.93772,                 1.2226,                0.86267,                0.79487,                0.89171,                0.66884,                0.83153,                0.71174,                 0.7704,                0.45939,                0.89985,                  2.752,                0.32298,                0.69801,                 1.0995,              0.0097822,              0.0097822,              0.0097822
                     46,                 1.0717,                 3.9436,                0.35315,                0.93672,                 1.2222,                0.86139,                0.79707,                0.89237,                0.66919,                0.83201,                 0.7111,                 0.7693,                 0.4586,                 0.8997,                 2.7508,                0.32294,                0.69772,                 1.0994,              0.0097773,              0.0097773,              0.0097773
                     47,                 1.0707,                 3.9559,                0.35382,                0.93734,                 1.2218,                 0.8621,                0.79623,                0.89198,                0.66901,                0.83019,                0.71269,                 0.7697,                0.45899,                 0.9001,                 2.7489,                0.32293,                0.69743,                 1.0996,              0.0097723,              0.0097723,              0.0097723
                     48,                 1.0716,                 3.9499,                0.35303,                0.93794,                 1.2229,                0.85823,                0.79864,                0.89202,                0.66848,                 0.8288,                0.71269,                0.76986,                0.45962,                0.89964,                 2.7487,                0.32284,                0.69752,                 1.0994,              0.0097674,              0.0097674,              0.0097674
                     49,                  1.072,                 3.9378,                0.35299,                0.93648,                 1.2222,                0.86019,                0.79618,                0.89156,                0.66823,                0.83118,                0.71079,                0.76939,                0.45987,                0.89897,                 2.7468,                0.32272,                0.69791,                 1.0988,              0.0097624,              0.0097624,              0.0097624
                     50,                 1.0738,                 3.9645,                0.35403,                0.93885,                 1.2233,                0.86114,                0.79628,                0.89107,                0.66834,                 0.8317,                0.71032,                0.76942,                0.45979,                0.89902,                 2.7464,                0.32275,                0.69787,                 1.0985,              0.0097575,              0.0097575,              0.0097575
                     51,                 1.0725,                 3.9383,                0.35284,                0.93677,                 1.2227,                0.86155,                0.79581,                0.89121,                0.66861,                 0.8313,                0.71063,                0.77006,                0.46027,                0.89885,                 2.7462,                0.32278,                0.69788,                 1.0982,              0.0097525,              0.0097525,              0.0097525
                     52,                 1.0714,                 3.9441,                0.35308,                0.93793,                 1.2225,                0.85949,                0.79833,                0.89128,                0.66907,                0.83304,                 0.7086,                0.77117,                0.46091,                0.89864,                 2.7442,                0.32258,                0.69792,                 1.0982,              0.0097476,              0.0097476,              0.0097476
                     53,                 1.0667,                 3.9364,                 0.3525,                0.93546,                 1.2206,                0.85957,                0.79786,                0.89257,                0.66936,                0.83466,                 0.7097,                0.77183,                0.46088,                0.89888,                 2.7438,                0.32247,                0.69781,                 1.0984,              0.0097426,              0.0097426,              0.0097426
                     54,                 1.0697,                 3.9353,                0.35312,                0.93496,                 1.2222,                0.86023,                0.79644,                0.89197,                0.66916,                0.83253,                0.70875,                0.77068,                0.46101,                0.89887,                 2.7439,                0.32243,                0.69735,                 1.0982,              0.0097377,              0.0097377,              0.0097377
                     55,                 1.0688,                 3.9462,                0.35279,                0.93788,                 1.2224,                0.85963,                0.79541,                0.89177,                0.66935,                0.83085,                0.71064,                0.77057,                0.46126,                0.89853,                 2.7433,                0.32236,                0.69686,                 1.0982,              0.0097327,              0.0097327,              0.0097327
                     56,                 1.0698,                 3.9426,                0.35274,                0.93735,                 1.2218,                0.86325,                0.79235,                0.89192,                0.66964,                0.83189,                0.71127,                0.77135,                0.46174,                0.89811,                 2.7398,                0.32228,                0.69633,                 1.0975,              0.0097278,              0.0097278,              0.0097278
                     57,                 1.0671,                 3.9307,                0.35207,                 0.9333,                 1.2197,                0.85882,                0.79676,                0.89197,                0.67004,                0.82894,                0.71426,                 0.7721,                0.46176,                0.89783,                 2.7379,                0.32214,                0.69604,                 1.0977,              0.0097228,              0.0097228,              0.0097228
                     58,                 1.0696,                 3.9292,                0.35214,                  0.935,                 1.2215,                 0.8546,                0.79975,                 0.8925,                0.67034,                0.82637,                0.71521,                0.77053,                 0.4616,                 0.8974,                 2.7384,                  0.322,                0.69576,                 1.0972,              0.0097179,              0.0097179,              0.0097179
                     59,                  1.068,                 3.9322,                  0.352,                0.93547,                 1.2212,                0.85656,                0.79943,                0.89179,                0.67005,                0.82754,                0.71411,                0.77075,                0.46168,                0.89712,                 2.7382,                0.32196,                0.69528,                 1.0968,              0.0097129,              0.0097129,              0.0097129
                     60,                 1.0696,                 3.9233,                0.35246,                0.93358,                 1.2209,                0.85485,                0.80148,                0.89199,                0.67005,                 0.8315,                0.71001,                 0.7723,                0.46257,                0.89616,                 2.7366,                0.32194,                0.69518,                  1.096,               0.009708,               0.009708,               0.009708
                     61,                 1.0697,                 3.9365,                0.35189,                0.93461,                 1.2208,                0.85148,                0.80598,                0.89266,                0.67019,                0.82835,                 0.7119,                0.77282,                0.46288,                0.89664,                 2.7361,                0.32194,                0.69535,                 1.0963,               0.009703,               0.009703,               0.009703
                     62,                 1.0712,                 3.9539,                0.35263,                0.93867,                 1.2218,                0.85571,                0.79959,                0.89211,                0.67027,                0.82622,                 0.7148,                0.77403,                0.46324,                 0.8974,                  2.736,                 0.3219,                 0.6949,                 1.0968,               0.009698,               0.009698,               0.009698
                     63,                 1.0692,                 3.9377,                0.35227,                0.93356,                 1.2207,                0.85297,                  0.804,                0.89229,                0.67052,                0.82708,                0.71461,                0.77531,                0.46339,                0.89704,                 2.7364,                0.32187,                0.69484,                 1.0966,              0.0096931,              0.0096931,              0.0096931
                     64,                 1.0681,                 3.9375,                0.35278,                0.93398,                 1.2207,                0.85235,                0.80368,                0.89222,                0.67115,                0.82395,                0.71767,                0.77516,                0.46269,                0.89659,                 2.7374,                0.32187,                0.69448,                 1.0962,              0.0096881,              0.0096881,              0.0096881
                     65,                 1.0692,                 3.9335,                0.35184,                0.93569,                 1.2207,                0.85323,                0.80353,                0.89261,                0.67124,                0.82644,                0.71666,                 0.7744,                0.46303,                0.89611,                 2.7392,                0.32174,                0.69409,                 1.0961,              0.0096832,              0.0096832,              0.0096832
                     66,                 1.0665,                 3.9292,                0.35247,                0.93428,                 1.2178,                0.85044,                0.80542,                0.89284,                0.67101,                0.82543,                0.71568,                 0.7729,                0.46213,                0.89602,                 2.7399,                0.32162,                0.69418,                 1.0958,              0.0096783,              0.0096783,              0.0096783
                     67,                 1.0681,                 3.9348,                0.35182,                0.93277,                 1.2193,                0.85229,                  0.804,                0.89289,                0.67107,                0.82933,                0.71458,                0.77335,                0.46202,                0.89659,                 2.7392,                0.32165,                 0.6935,                 1.0962,              0.0096733,              0.0096733,              0.0096733
                     68,                 1.0698,                 3.9353,                0.35279,                0.93529,                 1.2209,                0.85093,                0.80338,                0.89275,                0.67118,                0.82716,                0.71584,                0.77241,                0.46192,                 0.8965,                 2.7392,                0.32157,                0.69344,                 1.0961,              0.0096684,              0.0096684,              0.0096684
                     69,                 1.0678,                  3.934,                0.35221,                0.93555,                 1.2197,                0.85007,                0.80258,                0.89242,                0.67107,                0.82534,                0.71713,                0.77214,                0.46216,                 0.8965,                 2.7385,                0.32151,                0.69282,                  1.096,              0.0096634,              0.0096634,              0.0096634
                     70,                 1.0694,                 3.9336,                0.35206,                0.93539,                 1.2209,                0.85237,                0.79959,                0.89216,                0.67072,                 0.8278,                0.71599,                0.77327,                0.46233,                0.89655,                 2.7389,                0.32144,                0.69311,                 1.0963,              0.0096585,              0.0096585,              0.0096585
                     71,                 1.0697,                 3.9318,                0.35228,                0.93274,                 1.2195,                0.85065,                0.80258,                0.89282,                0.67107,                0.82874,                0.71694,                0.77411,                0.46308,                0.89606,                 2.7381,                0.32137,                0.69277,                 1.0959,              0.0096535,              0.0096535,              0.0096535
                     72,                 1.0688,                 3.9325,                0.35218,                0.93565,                  1.221,                0.85441,                0.80085,                0.89262,                0.67124,                0.82504,                0.71713,                0.77292,                0.46269,                0.89574,                  2.738,                0.32133,                0.69286,                 1.0957,              0.0096486,              0.0096486,              0.0096486
                     73,                 1.0676,                 3.9363,                0.35224,                0.93375,                 1.2192,                0.85173,                  0.804,                0.89268,                0.67134,                0.82561,                0.71699,                0.77269,                0.46221,                0.89628,                 2.7369,                0.32131,                0.69257,                 1.0959,              0.0096436,              0.0096436,              0.0096436
                     74,                 1.0677,                 3.9316,                0.35143,                0.93291,                 1.2203,                 0.8498,                0.80494,                0.89231,                0.67088,                0.82785,                0.71474,                0.77166,                 0.4617,                0.89624,                 2.7356,                0.32116,                 0.6918,                 1.0957,              0.0096387,              0.0096387,              0.0096387
                     75,                 1.0685,                 3.9365,                0.35278,                0.93447,                 1.2197,                0.85246,                0.80384,                 0.8925,                0.67109,                0.82941,                0.71332,                0.77209,                0.46136,                0.89571,                 2.7333,                0.32114,                0.69267,                 1.0949,              0.0096337,              0.0096337,              0.0096337
                     76,                 1.0699,                 3.9315,                0.35192,                0.93579,                 1.2211,                0.85039,                0.80636,                0.89246,                0.67127,                0.82482,                0.71537,                0.77206,                0.46127,                0.89575,                  2.733,                 0.3211,                0.69242,                 1.0951,              0.0096288,              0.0096288,              0.0096288
                     77,                 1.0677,                 3.9247,                0.35137,                0.93207,                 1.2189,                0.85892,                0.79975,                0.89288,                0.67121,                0.82547,                0.71554,                0.77279,                0.46223,                0.89568,                 2.7336,                0.32112,                0.69248,                 1.0949,              0.0096238,              0.0096238,              0.0096238
                     78,                 1.0662,                 3.9284,                0.35194,                0.93387,                 1.2185,                0.85835,                0.80132,                0.89371,                0.67157,                0.82097,                 0.7193,                0.77307,                0.46177,                 0.8954,                 2.7352,                0.32115,                0.69214,                 1.0947,              0.0096188,              0.0096188,              0.0096188
                     79,                 1.0681,                 3.9296,                0.35159,                0.93595,                 1.2201,                0.86095,                0.79959,                0.89346,                0.67222,                0.82069,                0.72182,                0.77395,                0.46107,                0.89501,                 2.7342,                0.32128,                0.69196,                 1.0944,              0.0096139,              0.0096139,              0.0096139
                     80,                 1.0682,                 3.9226,                 0.3515,                0.93316,                   1.22,                0.86258,                0.79676,                0.89338,                0.67181,                0.81958,                0.71993,                0.77362,                  0.461,                0.89527,                 2.7331,                0.32127,                0.69249,                 1.0945,               0.009609,               0.009609,               0.009609
                     81,                 1.0662,                 3.9201,                0.35146,                0.93353,                 1.2182,                0.86068,                0.79786,                0.89366,                0.67242,                0.81984,                0.72103,                0.77449,                0.46185,                0.89542,                 2.7323,                0.32118,                0.69294,                 1.0946,               0.009604,               0.009604,               0.009604
                     82,                 1.0678,                 3.9331,                0.35206,                0.93501,                 1.2207,                 0.8645,                0.79648,                0.89366,                0.67187,                0.82313,                0.72056,                0.77488,                0.46192,                0.89527,                 2.7326,                0.32114,                0.69258,                 1.0946,               0.009599,               0.009599,               0.009599
                     83,                 1.0653,                 3.9278,                0.35128,                0.93015,                 1.2176,                0.86547,                0.79502,                0.89376,                0.67249,                0.82492,                0.71836,                0.77382,                0.46235,                0.89548,                  2.731,                0.32114,                0.69222,                 1.0944,              0.0095941,              0.0095941,              0.0095941
                     84,                 1.0677,                 3.9249,                0.35101,                0.93195,                 1.2194,                0.86161,                0.79912,                 0.8939,                0.67267,                0.81894,                0.71899,                0.77194,                0.46206,                0.89533,                 2.7295,                0.32113,                 0.6917,                 1.0942,              0.0095892,              0.0095892,              0.0095892
                     85,                 1.0678,                 3.9265,                0.35249,                0.93405,                 1.2196,                0.86307,                0.79754,                 0.8939,                 0.6724,                0.82017,                0.71836,                0.77084,                0.46229,                0.89511,                 2.7305,                0.32106,                0.69113,                 1.0939,              0.0095842,              0.0095842,              0.0095842
                     86,                  1.068,                 3.9333,                0.35256,                0.93575,                 1.2196,                0.86381,                0.79707,                0.89375,                0.67257,                0.81915,                0.71914,                0.77296,                 0.4626,                0.89448,                 2.7296,                0.32099,                0.69085,                 1.0934,              0.0095793,              0.0095793,              0.0095793
                     87,                 1.0671,                 3.9242,                0.35256,                0.93266,                 1.2196,                0.86622,                0.79612,                0.89332,                  0.673,                0.82268,                0.71741,                0.77235,                0.46324,                0.89392,                 2.7286,                  0.321,                0.69044,                 1.0928,              0.0095743,              0.0095743,              0.0095743
                     88,                 1.0653,                 3.9192,                0.35144,                0.93117,                 1.2185,                0.86237,                0.79833,                0.89392,                0.67352,                0.82135,                0.72072,                0.77388,                0.46385,                0.89341,                 2.7282,                0.32097,                0.69052,                 1.0927,              0.0095694,              0.0095694,              0.0095694
                     89,                 1.0678,                 3.9192,                0.35161,                0.93439,                 1.2207,                0.86418,                0.79534,                0.89392,                0.67337,                0.82579,                0.71804,                0.77384,                0.46418,                0.89324,                 2.7265,                0.32079,                0.69065,                 1.0928,              0.0095644,              0.0095644,              0.0095644
                     90,                 1.0686,                 3.9196,                0.35252,                 0.9359,                 1.2198,                0.86193,                0.79607,                0.89381,                0.67331,                0.82717,                0.71521,                0.77289,                 0.4643,                0.89302,                 2.7244,                0.32073,                0.69035,                 1.0923,              0.0095595,              0.0095595,              0.0095595
                     91,                 1.0682,                 3.9233,                 0.3512,                0.93211,                 1.2207,                0.86627,                0.79424,                0.89417,                0.67374,                0.82442,                0.71777,                0.77316,                0.46448,                0.89236,                 2.7238,                0.32074,                0.68951,                 1.0921,              0.0095545,              0.0095545,              0.0095545
                     92,                 1.0686,                 3.9191,                0.35199,                0.93181,                 1.2196,                0.85904,                0.79822,                0.89435,                0.67414,                0.82466,                 0.7171,                0.77438,                0.46461,                0.89286,                 2.7242,                0.32081,                0.68901,                 1.0926,              0.0095496,              0.0095496,              0.0095496
                     93,                  1.066,                 3.9133,                0.35158,                0.92971,                 1.2174,                0.85551,                0.80195,                0.89374,                 0.6735,                0.83168,                0.71332,                 0.7744,                0.46435,                0.89283,                 2.7241,                0.32071,                0.68873,                 1.0921,              0.0095446,              0.0095446,              0.0095446
                     94,                 1.0652,                  3.928,                0.35137,                0.93488,                  1.219,                 0.8521,                0.80605,                0.89455,                0.67379,                0.82775,                0.71491,                0.77285,                0.46482,                0.89335,                 2.7253,                0.32071,                0.68888,                  1.092,              0.0095397,              0.0095397,              0.0095397
                     95,                 1.0683,                 3.9312,                0.35241,                0.93507,                  1.219,                0.84926,                0.80804,                0.89439,                0.67397,                 0.8304,                0.71222,                0.77311,                0.46541,                0.89332,                 2.7233,                0.32078,                0.68905,                 1.0921,              0.0095347,              0.0095347,              0.0095347
                     96,                 1.0675,                 3.9219,                 0.3517,                0.93145,                 1.2195,                0.84882,                0.80762,                0.89454,                0.67411,                0.82707,                0.71552,                0.77327,                 0.4653,                0.89324,                 2.7225,                0.32072,                0.68848,                 1.0919,              0.0095298,              0.0095298,              0.0095298
